"value","nasad_URL_clean"
"Kent State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0183"
"Kutztown University of Pennsylvania","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0720"
"La Roche University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1170"
"Laguna College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1166"
"Lamar University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0152"
"Lander University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0733"
"Lawrence Technological University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1184"
"The Lebanese American University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1434"
"Lesley University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0153"
"Lorain County Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1252"
"Los Angeles Academy of Figurative Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1264"
"Louisiana State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0763"
"Louisiana Tech University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0764"
"Maine College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1228"
"Maryville University of Saint Louis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0566"
"Marywood University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0772"
"McNeese State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0773"
"Messiah University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0775"
"Metropolitan State University of Denver","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0776"
"Miami University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0157"
"Middle Tennessee State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0777"
"Midwestern State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0778"
"Millersville University of Pennsylvania","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0779"
"Milwaukee Institute of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1218"
"Minnesota State University Mankato","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0095"
"Minnesota State University Moorhead","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0272"
"Mississippi State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0704"
"Mississippi University for Women","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0783"
"Mississippi Valley State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0784"
"Missouri State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0342"
"Montana State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0787"
"Montana State University Billings","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0443"
"Montclair State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0050"
"Montgomery College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0259"
"Montserrat College of Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1220"
"Morehead State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0687"
"Munson-Williams-Proctor Arts Institute","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1222"
"Murray State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0252"
"Nazareth College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0356"
"New Jersey City University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0749"
"New Jersey Institute of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1299"
"New World School of the Arts","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0070"
"New York Academy of Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1272"
"New York City College of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1302"
"New York School of Interior Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1187"
"New York University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0293"
"Nicholls State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0800"
"Normandale Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0839"
"North Carolina State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1180"
"North Dakota State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0803"
"Northeastern Illinois University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0247"
"Northern Illinois University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0248"
"Northern State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0673"
"Northwest College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0717"
"Northwestern State University of Louisiana","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0163"
"Ohio State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0031"
"Otis College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1224"
"Pacific Union College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0488"
"Paris College of Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1174"
"Pennsylvania Academy of the Fine Arts","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1226"
"Pennsylvania College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1227"
"Pennsylvania State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0165"
"Pennsylvania Western University of Pennsylvania","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0306"
"Photographic Center Northwest","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1185"
"Purchase College, State University of New York","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0203"
"Purdue University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1016"
"Purdue University Fort Wayne","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0746"
"Queensborough Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1154"
"Radford University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0041"
"Rhode Island College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0030"
"Ringling College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1231"
"Rochester Institute of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1191"
"Rocky Mountain College of Art and Design","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1236"
"Rowan University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0171"
"Russell Sage College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1213"
"Rutgers University, The State University of New Jersey","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0069"
"Saint Cloud State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0510"
"Saint John's University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1198"
"Saint Louis Community College at Florissant Valley","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1232"
"Saint Louis Community College at Meramec","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1189"
"Saint Louis University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1257"
"Salem State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0904"
"Salve Regina University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0999"
"Sam Houston State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0196"
"San Diego State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0098"
"San Francisco State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0231"
"San José State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0042"
"Sinclair Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0175"
"Skidmore College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0295"
"Slippery Rock University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0038"
"Sonoma State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0176"
"Sotheby's Institute of Art – New York","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1169"
"South Carolina State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0712"
"South Dakota State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0526"
"Southeast Missouri State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0331"
"Southeastern Louisiana University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0527"
"Southern Illinois University Carbondale","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0532"
"Southern Illinois University Edwardsville","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0357"
"Southern Methodist University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0034"
"Southern Utah University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0192"
"Southwest School of Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1485"
"St. Johns River State College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0347"
"St. Olaf College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0033"
"State University of New York, Fredonia","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0296"
"State University of New York, New Paltz","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0180"
"State University of New York, Oswego","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0545"
"Stephen F. Austin State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0549"
"Stockton University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0212"
"Studio Incamminati","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1281"
"Suffolk University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1193"
"Syracuse University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0552"
"Temple University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1160"
"Tennessee State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0556"
"Tennessee Technological University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0558"
"Texas A&M University – Commerce","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0441"
"Texas Christian University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0097"
"Texas Tech University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0096"
"Thomas Jefferson University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1639"
"Union University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0567"
"University of Akron","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0060"
"University of Alabama","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0086"
"University of Alabama at Birmingham","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0205"
"University of Alabama in Huntsville","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0685"
"University of Alaska Anchorage","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0216"
"University of Arizona","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0047"
"University of Arkansas","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0571"
"University of Arkansas - Fort Smith","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0873"
"University of Arkansas at Little Rock","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0005"
"University of Arkansas at Pine Bluff","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0573"
"University of Central Arkansas","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0574"
